	Yeast_level	sp1	sp2st1	sp2st2	sp2st3	sp3	sp4	sp5	sp6	sp7	sp8	Yield_Average	Yield_SD	Yield_Rank	Yeast_Average	Yeast_SD	Bac_Average	Bac_SD	Yeast_RA_Av	Yeast_RA_SD	Bac_RA_Av	Bac_RA_SD	rank_yeastAV	rank_bacAV	rank_yeastRA	rank_bacRA
yeast+sp1+sp4/100	100	1	0	0	0	0	1	0	0	0	0	88.66	1.38	46	1.1434222e+007	1265211	197777.8	103769.5	98.35982	0.737725	1.640175	0.737725	73	62	55	72
yeast+sp1+sp3/100	100	1	0	0	0	1	0	0	0	0	0	85.91	2.88	39	1.2816667e+007	1702225	56000	9443.791	99.56626	0.032856	0.433743	0.032856	96	20	95	17
yeast+sp1+sp6/100	100	1	0	0	0	0	0	0	1	0	0	91.41	2.26	70	9956222	1170049	55111.11	28763.83	99.46014	0.266616	0.539861	0.266616	37	19	93	46
yeast+sp1+sp4+sp5/100	100	1	0	0	0	0	1	1	0	0	0	91.55	1.72	75	1.1430222e+007	1425604	155333.3	81065.13	98.70834	0.548766	1.291665	0.548766	72	55	62	61
yeast+sp1+sp4+sp3/100	100	1	0	0	0	1	1	0	0	0	0	60.49	8.85	16	1.2015333e+007	1034754	139555.6	41790.78	98.87395	0.264855	1.126048	0.264855	91	51	66	45
yeast+sp1+sp4+sp6/100	100	1	0	0	0	0	1	0	1	0	0	98.38	1.64	98	1.3247778e+007	829628.4	192666.7	36709.07	98.57718	0.199521	1.422817	0.199521	98	60	59	34
yeast+sp1+sp4+sp5+sp3/100	100	1	0	0	0	1	1	1	0	0	0	67.2	1.62	18	1.1577556e+007	1666445	100444.4	31469.37	99.13471	0.23464	0.865289	0.23464	79	39	76	40
yeast+sp1+sp4+sp5+sp6/100	100	1	0	0	0	0	1	1	1	0	0	96.6	2.1	97	1.1704e+007	2842837	131777.8	49418.35	98.91976	0.222279	1.080239	0.222279	84	50	69	37
yeast+sp1+sp4+sp3+sp6/100	100	1	0	0	0	1	1	0	1	0	0	96.3	1.76	96	9897556	1364304	118444.4	87154.75	98.90463	0.689591	1.095371	0.689591	33	47	68	69
yeast+sp1+sp4+sp5+sp3+sp6/100	100	1	0	0	0	1	1	1	1	0	0	90.53	3.61	62	1.1518889e+007	325261.5	205111.1	16567.11	98.25124	0.123371	1.748761	0.123371	77	64	52	23
